twitter_handle,password
@apmc,apmc#12
@gsg,ddv$6333
@nucho,54@fdam
@san,fd56$%
@act,act#124
@cmc,cmc$65
@fi,fi_dt!44
@gsc,gsc_dt!44
@hhc,hhc_dt!44
@hmcc,hmcc_dt!44
@hbo,hbo_dt!44
@ins,ins_dt!44
@ibc,ibc_dt!44
@lc,lc_dt!44
@mc,mc_dt!44
@rzcc,rzcc_dt!44
@sic,sic_dt!44
@sgc,sgc_dt!44
@sn,sn_dt!44
@ram,ram_dt!44
@madhav,madhav_dt!44
@vikram,vikram_dt!44
@sham,sham_dt!44
@john,john_dt!44
@varam,varam_dt!44
@karam,karam_dt!44
@diram,diram_dt!44
@charan,charan_dt!44
@eli,eli_dt!44
@bikar,bikar_dt!44
@gappy,gappy_dt!44
@bobbi,bobbi_dt!44
@maichav,maichav_dt!44
@mishal,mishal_dt!44
@varsath,varsath_dt!44
@tikram,tikram_dt!44
@bay,bay_dt!44
@aaron,aaron_dt!44
@turam,turam_dt!44
@nancy,nancy_dt!44
@fatima,fatima_dt!44
@henryk,henryk_dt!44
@risti,risti_dt!44
@kristi,kristi_dt!44
@catilyn,catilyn_dt!44
@janvi,janvi_dt!44
@elina,elina_dt!44
@dina,dina_dt!44
@gina,gina_dt!44
